13:26:31	脚本第_306行	DEBUG SCRIPT START 2026-05-29 13:26:31
13:26:31	脚本第_307行	WAIT_ATTACK_SCREEN = 0 TAP_RESULT_CARD = 0 BUSTER_SIM = 0.9 PRIORITY_SIM = 0.9
13:26:31	脚本第_184行	================ DEBUG SELECT PRIORITY BUSTER CARD ================
13:26:31	脚本第_185行	BUSTER_SIM = 0.9 PRIORITY_SIM = 0.9 PRIORITY_COUNT = 2
13:26:31	脚本第_186行	BUSTER_MOTION_PAD = 10 20 HERO_MOTION_PAD = 20 40
13:26:31	脚本第_187行	PRIORITY_RETRY = 6 times 80 ms
13:26:31	脚本第_188行	Priority 1 = Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
13:26:31	脚本第_189行	Priority 2 = Attachment:BATTLE_ATTACK_Hero_Card_beni.png
13:26:31	脚本第_198行	---- CARD 1 BUSTER CHECK ----
13:26:31	脚本第_199行	STANDARD WINDOW
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.95 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.93 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.9 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.88 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.85 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 STD sim 0.83 MISS area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_104行	BUSTER CARD 1 STD sim 0.8 HIT 221 502 area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_104行	BUSTER CARD 1 STD sim 0.78 HIT 220 501 area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_104行	BUSTER CARD 1 STD sim 0.75 HIT 219 501 area -12 460 248 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_201行	MOTION WINDOW
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.95 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.93 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.9 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.88 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.85 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_106行	BUSTER CARD 1 MOTION sim 0.83 MISS area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_104行	BUSTER CARD 1 MOTION sim 0.8 HIT 221 498 area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:31	脚本第_104行	BUSTER CARD 1 MOTION sim 0.78 HIT 221 498 area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 1 MOTION sim 0.75 HIT 220 497 area -12 450 248 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_210行	BUSTER DEFAULT MISS card 1
13:26:32	脚本第_198行	---- CARD 2 BUSTER CHECK ----
13:26:32	脚本第_199行	STANDARD WINDOW
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.95 HIT 416 593 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.93 HIT 416 592 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.9 HIT 415 591 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.88 HIT 413 586 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.85 HIT 413 586 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.83 HIT 412 584 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.8 HIT 509 497 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.78 HIT 509 496 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 STD sim 0.75 HIT 507 496 area 278 460 538 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_201行	MOTION WINDOW
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.95 HIT 416 591 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.93 HIT 416 590 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.9 HIT 415 589 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.88 HIT 415 589 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.85 HIT 412 583 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.83 HIT 412 582 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.8 HIT 509 495 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.78 HIT 508 495 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 2 MOTION sim 0.75 HIT 507 495 area 278 450 538 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_208行	BUSTER DEFAULT HIT card 2 coord 415 588
13:26:32	脚本第_198行	---- CARD 3 BUSTER CHECK ----
13:26:32	脚本第_199行	STANDARD WINDOW
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.95 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.93 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.9 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.88 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.85 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 STD sim 0.83 MISS area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 STD sim 0.8 HIT 796 494 area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 STD sim 0.78 HIT 796 494 area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 STD sim 0.75 HIT 794 494 area 568 460 828 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_201行	MOTION WINDOW
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.95 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.93 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.9 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.88 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.85 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_106行	BUSTER CARD 3 MOTION sim 0.83 MISS area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 MOTION sim 0.8 HIT 796 494 area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 MOTION sim 0.78 HIT 796 494 area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 3 MOTION sim 0.75 HIT 794 494 area 568 450 828 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_210行	BUSTER DEFAULT MISS card 3
13:26:32	脚本第_198行	---- CARD 4 BUSTER CHECK ----
13:26:32	脚本第_199行	STANDARD WINDOW
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.95 HIT 993 590 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.93 HIT 992 588 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.9 HIT 992 588 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.88 HIT 991 587 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.85 HIT 990 585 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.83 HIT 989 584 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.8 HIT 1086 497 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:32	脚本第_104行	BUSTER CARD 4 STD sim 0.78 HIT 1086 497 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 STD sim 0.75 HIT 1084 498 area 861 460 1121 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_201行	MOTION WINDOW
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.95 HIT 993 594 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.93 HIT 992 594 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.9 HIT 992 594 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.88 HIT 991 592 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.85 HIT 990 591 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.83 HIT 989 589 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.8 HIT 1085 503 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.78 HIT 1085 503 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_104行	BUSTER CARD 4 MOTION sim 0.75 HIT 1087 502 area 861 450 1121 770 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_208行	BUSTER DEFAULT HIT card 4 coord 992 597
13:26:33	脚本第_198行	---- CARD 5 BUSTER CHECK ----
13:26:33	脚本第_199行	STANDARD WINDOW
13:26:33	脚本第_106行	BUSTER CARD 5 STD sim 0.95 MISS area 1148 460 1408 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
13:26:33	脚本第_106行	BUSTER CARD 5 STD sim 0.93 MISS area 1148 460 1408 750 img Attachment:BATTLE_ATTACK_CARD_BUSTER.png
